id,doi,year,author,title,organism,phenomena,cited_by_count,n_citations,n_sci_citations,n_historiographic,n_same_organism_citations,n_parallels,n_parallel_same_organism,n_parallel_same_organism_uncited,parallels_total_estimate,convergence_axis,top_parallel_dois,rediscovery_verified,layer
30,10.1007/bf02108509,1923,Jellinek,Die Replantation von Augen,Mammals,"regeneration, transplantation",4,4,4,0,0,30,0,0,71037,C3 – Related taxon active,,,Layer 2
31,10.1007/bf02108510,1923,Finkler,Kopftransplantation an Insekten,Lepidoptera,"regeneration, transplantation",2,2,2,0,0,29,0,0,5020,C3 – Related taxon active,,,Layer 3
32,10.1007/bf02108511,1923,Finkler,Kopftransplantation an Insekten,Coleoptera (beetles),transplantation,1,1,1,0,0,30,0,0,2693,C3 – Related taxon active,,,Layer 3
33,10.1007/bf02108512,1923,Finkler,Kopftransplantation an Insekten,,transplantation,3,3,3,0,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
34,10.1007/bf02108513,1923,Wiesner,Die Replantation der Kristallinse entwickelter Tiere,Fishes,"regeneration, transplantation",5,5,5,0,0,30,0,0,91259,C3 – Related taxon active,,,Layer 3
35,10.1007/bf02108514,1923,B. P. Wiesner,Die Funktionsfähigkeit autophor transplantierter Ovarien bei Ratten,Rattus rat,"transplantation, sex_determination",4,4,4,0,0,63,33,33,3363,C2 – Same genus active,10.34297/ajbsr.2025.26.003448; 10.1051/bioconf/202516602008; 10.5455/ajvs.183386; 10.1002/biot.202300484; 10.14202/vetworld.2021.3056-3064,YES,Layer 2
36,10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,transplantation,21,21,19,2,0,27,0,0,748,C3 – Related taxon active,,,Layer 2
37,10.1007/bf02108516,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,Amphibia,"regeneration, transplantation",12,12,12,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
38,10.1007/bf02161597,1916,Steinach,Pubertätsdrüsen und Zwitterbildung,,"transplantation, sex_determination",65,65,63,2,0,0,0,0,0,C5 – No modern parallel,,,Layer 3
39,10.1007/bf02162072,1909,Kammerer,Vererbung erzwungener Fortpflanzungsanpassungen,Alytes,inheritance_of_acquired,23,23,14,9,1,10,0,0,70,C4 – Phenomenon only,,,Layer 3
40,10.1007/bf02162073,1909,Mayerhofer,Farbwechselversuche am Hechte (Esox lucius L.),Esox lucius,color_change,15,15,15,0,1,32,13,13,668,C1 – Same species active,10.1007/s11270-024-06894-z; 10.60910/vs0v-m1yt; 10.60910/xz9u-mz2h; 10.60910/ne5s-6mj6; 10.15547/bjvm.2392,,Layer 1
41,10.1007/bf02162074,1909,Thomsen,"Aufzucht, Farbwechsel und Regeneration der Gottesanbeterinnen (Mantidae)",Sphodromantis mantis,"regeneration, color_change",21,21,21,0,6,7,1,1,8,C2 – Same genus active,10.17159/2254-8854/2022/a13967,,Layer 2
42,10.1007/bf02162075,1909,Secerov,Farbenwechselversuche an der Bartgrundel (Nemachilus barbatula L.),Fishes,color_change,20,20,20,0,0,29,0,0,83043,C3 – Related taxon active,,,Layer 2
43,10.1007/bf02162076,1909,Werber/Goldschmidt,Regeneration des Schnabels bei der Hausgans (Anser cinereus) und bei der Hausente (Anas boschas),Anser cinereus,regeneration,6,6,6,0,0,31,17,17,804,C2 – Same genus active,10.1038/s42003-025-07715-7; 10.1016/j.psj.2024.103424; 10.26873/svr-1711-2023; 10.1016/j.psj.2024.103933; 10.3390/genes14051048,YES,Layer 3
44,10.1007/bf02162077,1904,Kammerer,Beitrag zur Erkenntnis der Verwandtschaftsverhältnisse von Salamandra atra und maculosa,Salamandra atra,,41,41,35,6,9,45,45,45,8955,C2 – Same genus active,10.3390/biom10040512; 10.1016/j.ympev.2020.107063; 10.1093/biolinnean/blaa020; 10.1093/iob/obaa015; 10.13128/acta_herpetol-3416,,Layer 2
45,10.1007/bf02162145,1905,Biberhofer,Über Regeneration des dritten Maxillipedes beim Flußkrebs (Astacus fluviatilis),Astacus fluviatilis,regeneration,2,2,2,0,0,30,17,17,233,C2 – Same genus active,10.1016/j.fsi.2023.109185; 10.3389/fmolb.2022.1080836; 10.2478/eko-2022-0036; 10.26420/austinjnutrmetab.2021.1152; 10.7717/peerj.11838,YES,Layer 4
46,10.1007/bf02162146,1905,Cerny,Versuche Über Regeneration bei Süßwasserschnecken,freshwater snail,regeneration,3,3,3,0,0,52,47,47,38253,C2 – Same genus active,10.1080/24750263.2024.2310041; 10.1016/j.envpol.2023.121959; 10.1016/j.aquaculture.2023.740210; 10.1016/j.scitotenv.2022.159590; 10.1016/j.ecoenv.2022.114431,YES,Layer 2
47,10.1007/bf02162147,1905,Czwiklitzer,Zur Regeneration des Vorderendes von Ophryotrocha puerilis Clap.-Metsch,Ophryotrocha puerilis,regeneration,5,5,5,0,0,28,6,6,63,C2 – Same genus active,10.1016/j.dci.2023.105102; 10.1038/s41598-022-04870-3; 10.3354/aei00371; 10.1186/1742-9994-5-1; 10.1093/beheco/8.1.83,YES,Layer 2
48,10.1007/bf02162148,1905,Kammerer,"Über die Abhängigkeit des Regenerationsvermögens der Amphibienlarven von Alter, Entwicklungsstadium und spezifischer Größe",Amphibia,regeneration,25,25,25,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
49,10.1007/bf02162149,1905,Przibram,Die »Heterochelie« bei decapoden Crustaceen (zugleich: Experimentelle Studien Über Regeneration. Dritte Mitteilung),Crustacea,regeneration,23,23,23,0,0,25,0,0,2690,C3 – Related taxon active,,,Layer 2
50,10.1007/bf02162150,1905,Isaak Werber,Regeneration der Kiefer bei der Eidechse Lacerta agilis,Lacerta agilis,regeneration,10,10,10,0,0,28,17,17,467,C1 – Same species active,10.1002/ece3.9407; 10.1007/s00427-019-00635-7; 10.18500/1814-6090-2017-17-1-2-3-9; 10.14720/ns.16.1.65-66; 10.1007/s10211-013-0148-2,YES,Layer 2
51,10.1007/bf02162151,1905,Werber,Regeneration des exstirpierten Fühlers und Auges beim Mehlkäfer (Tenebrio molitor),Tenebrio molitor,regeneration,8,8,8,0,2,33,23,23,881,C1 – Same species active,10.3390/foods14020217; 10.3390/app15179285; 10.1002/jat.4764; 10.1007/s00441-024-03877-8; 10.1016/j.jclepro.2024.142608,,Layer 1
52,10.1007/bf02162320,1906,Werber,Regeneration der Kiefer bei Reptilien und Amphibien,Amphibia,regeneration,5,5,5,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
53,10.1007/bf02162321,1906,Biberhofer,Über Regeneration bei Amphioxus Ianceolatus,Amphioxus,regeneration,3,3,3,0,1,22,12,11,551,C2 – Same genus active,10.1111/1749-4877.12846; 10.3390/photonics9070503; 10.1242/dev.166017; 10.1038/s41598-018-27700-x; 10.1186/1471-213x-13-18,,Layer 3
54,10.1007/bf02162322,1906,Bogacki,Experimentelle Flossenregeneration bei europäischen Süßwasserfischen,Fishes,regeneration,6,6,6,0,0,30,0,0,91259,C3 – Related taxon active,,,Layer 2
55,10.1007/bf02162323,1906,Grosser/Przibram,Einige Mißbildungen beim Dornhai (Acanthias vulgaris Risso),Acanthias vulgaris,,7,7,7,0,0,49,48,48,4436,C2 – Same genus active,10.11646/zootaxa.4133.1.1; 10.1139/cjfas-2013-0342; 10.1016/j.dci.2011.10.007; 10.11646/zootaxa.2612.1.2; 10.1111/j.1365-294x.2010.04598.x,YES,Layer 4
56,10.1007/bf02162324,1906,Hadzi,Vorversuche zur Biologie von Hydra,Hydra,,18,18,17,1,9,46,46,46,34075,C2 – Same genus active,10.1038/s41567-020-01083-1; 10.1126/science.aav9314; 10.1109/tgrs.2019.2906883; 10.1016/j.cub.2017.02.049; 10.1016/j.envpol.2017.11.029,,Layer 1
57,10.1007/bf02162325,1906,Kammerer,Experimentelle Veränderung der Fortpflanzungstätigkeit bei Geburtshelferkröte (Alytes obstetricans) und Laubfrosch (Hyla arborea),Alytes obstetricans,,26,26,21,5,1,49,49,49,2682,C1 – Same species active,10.1163/15685381-20191312; 10.1111/jbi.13405; 10.1007/s10646-017-1799-y; 10.1016/j.ympev.2015.08.009; 10.1371/journal.pone.0120237,,Layer 2
58,10.1007/bf02162326,1906,Megusar,Einfluß abnormaler Gravitationswirkung auf die Embryonalentwicklung bei Hydrophilus aterrimus Eschscholtz,Coleoptera (beetles),"gravity_effects, developmental_mechanics",2,2,2,0,0,30,0,0,697,C3 – Related taxon active,,,Layer 2
59,10.1007/bf02162327,1906,Przibram,"Aufzucht, Farbwechsel und Regeneration einer ägyptischen Gottesanbeterin (Sphodromantis bioculata Burm.)",Sphodromantis bioculata,"regeneration, color_change",27,27,26,1,5,7,1,1,8,C2 – Same genus active,10.17159/2254-8854/2022/a13967,,Layer 1
60,10.1007/bf02162328,1906,Hans Przibram,Kristall-Analogien zur Entwicklungsmechanik der Organismen,,developmental_mechanics,15,15,12,3,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
61,10.1007/bf02189254,1917,Przibram,Wachstumsmessungen an Sphodromantis bioculata Burm,Sphodromantis bioculata,growth,3,3,3,0,0,24,2,2,33,C2 – Same genus active,10.1186/s13568-025-01908-3; 10.3897/jor.32.96183,YES,Layer 3
62,10.1007/bf02189255,1917,K. Przibram,Über die ungeordnete Bewegung niederer Tiere. II,,behavior,10,10,9,1,0,0,0,0,0,C5 – No modern parallel,,,Layer 4
63,10.1007/bf02189256,1917,Hans Przibram,Temperaturquotienten für Lebenserscheinungen der Sphodromantis bioculata Burm,Sphodromantis bioculata,thermal_modification,5,5,5,0,1,25,6,6,71,C2 – Same genus active,10.1242/jeb.249296; 10.32475/bsef_2346; 10.1186/s13568-025-01908-3; 10.3897/jor.32.96183; 10.17159/2254-8854/2022/a13967,,Layer 1
64,10.1007/bf02189257,1917,Hans Przibram,Die Umwelt des Keimplasmas,Mammals,"thermal_modification, developmental_mechanics",15,15,12,3,0,30,0,0,279189,C3 – Related taxon active,,,Layer 2
65,10.1007/bf02189258,1917,Przibram,"Transitäre Scherenformen der Winkerkrabbe, Gelasimus pugnax Smith",Crustacea,heteromorphosis,8,8,7,1,0,2,0,0,2,C3 – Related taxon active,,,Layer 2
66,10.1007/bf02189259,1917,Przibram,Fühlerregeneration halberwachsener Sphodromantis-Larven,Sphodromantis,"regeneration, heteromorphosis",5,5,5,0,0,7,1,1,8,C2 – Same genus active,10.17159/2254-8854/2022/a13967,YES,Layer 2
67,10.1007/bf02189260,1917,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L.",Pieris brassicae,light_effects,22,22,22,0,7,56,46,46,11764,C1 – Same species active,10.1016/j.cropro.2024.106623; 10.1134/s1062359023601477; 10.22271/j.ento.2020.v8.i4m.7206; 10.7554/elife.60293; 10.1093/jxb/eru096,,Layer 2
68,10.1007/bf02189261,1917,Hans Przibram,Dr. Franz Megusar,Mantis,"regeneration, color_change",3,3,1,2,0,20,10,10,1126,C2 – Same genus active,10.1016/j.bioactmat.2026.02.001; 10.1007/s42235-026-00926-6; 10.4314/met.v32i1.10; 10.1016/j.saa.2020.119223; 10.51200/jtbc.v16i0.2038,YES,Layer 4
69,10.1007/bf02254264,1925,Paul Weiß,Abhängigkeit der Regeneration entwickelter Amphibien-extremitäten vom Nervensystem,Amphibia,"regeneration, behavior",24,24,24,0,0,29,0,0,1767,C3 – Related taxon active,,,Layer 2
