bva_id,bva_doi,bva_year,bva_author,bva_title,bva_organism,citing_doi,citing_year,citing_author,citing_title,citing_topic,species_match,historiographic,type
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1016/0012-1606(75)90246-8,1975,David L. Stocum,Regulation after proximal or distal transposition of limb regeneration blastemas and determination of the proximal boundary of the regenerate,Developmental Biology and Gene Regulation,phenomenon_only,False,article
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1016/0012-1606(68)90051-1,1968,David L. Stocum,The urodele limb regeneration blastema: A self-organizing system,Reconstructive Surgery and Microvascular Techniques,phenomenon_only,False,article
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1007/bf01380787,1970,N. J. de Both,The developmental potencies of the regeneration blastema of the axolotl limb,Congenital limb and hand anomalies,phenomenon_only,False,article
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1002/jez.1400730203,1936,Gladwyn Kingsley Noble,Factors controlling the form and color of scales on the regenerated tails of lizards,Amphibian and Reptile Biology,related_taxon,False,article
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1002/jmor.1050710108,1942,Edward C. Horn,An analysis of neutron and x‐ray effects on regeneration of the forelimb of larval Amblystoma,Fossil Insects in Amber,phenomenon_only,False,article
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1016/b978-1-4831-9948-1.50007-3,1961,R. J. Goss,Regeneration of Vertebrate Appendages,Bone fractures and treatments,phenomenon_only,False,book-chapter
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1016/b978-0-12-635120-0.50024-2,1983,David L. Stocum,MORPHOGENESIS OF THE AMPHIBIAN LIMB REGENERATION BLASTEMA,Developmental Biology and Gene Regulation,phenomenon_only,False,book-chapter
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1007/978-1-4684-4310-3_4,1983,Lawrence S. Dillon,Gene Action Changes during Vertebrate Differentiation,Animal Genetics and Reproduction,phenomenon_only,False,book-chapter
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,10.1016/j.cdev.2024.203901,2024,A. Sarada Achary,Reactive nitrogen species-mediated cell proliferation during tail regeneration and retinoic acid as a putative modulator of tissue regeneration in the geckos,Neurobiology and Insect Physiology Research,related_taxon,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.3389/fcell.2023.1206157,2023,Benjamin Tajer,The salamander blastema within the broader context of metazoan regeneration,Planarian Biology and Electrostimulation,phenomenon_only,False,review
